0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:17:01 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.woff2 HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:17:01 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.woff2 HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:17:02 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.woff HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:17:02 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.woff HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:17:02 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.woff HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:17:02 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.ttf HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:17:02 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.ttf HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:17:02 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.ttf HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:17:38 +0530] "GET /apidirectory/admin/register.jsp HTTP/1.1" 200 3615
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:17:38 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.woff2 HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:17:38 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.woff2 HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:17:38 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.woff2 HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:17:38 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.woff HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:17:38 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.woff HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:17:38 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.woff HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:17:38 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.ttf HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:17:38 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.ttf HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:17:38 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.ttf HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:18:54 +0530] "GET /apidirectory/admin/register.jsp HTTP/1.1" 200 3794
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:18:54 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.woff2 HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:18:54 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.woff2 HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:18:54 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.woff2 HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:18:54 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.woff HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:18:54 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.woff HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:18:54 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.woff HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:18:54 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.ttf HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:18:54 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.ttf HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:18:54 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.ttf HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:19:04 +0530] "GET /apidirectory/admin/register.jsp HTTP/1.1" 200 3973
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:19:04 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.woff2 HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:19:04 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.woff2 HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:19:04 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.woff2 HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:19:04 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.woff HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:19:04 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.woff HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:19:04 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.woff HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:19:04 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.ttf HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:19:04 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.ttf HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:19:04 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.ttf HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:19:22 +0530] "GET /apidirectory/admin/register.jsp HTTP/1.1" 200 3795
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:19:22 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.woff2 HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:19:22 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.woff2 HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:19:22 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.woff2 HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:19:22 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.woff HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:19:22 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.woff HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:19:22 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.woff HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:19:22 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.ttf HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:19:22 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.ttf HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:19:22 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.ttf HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:20:45 +0530] "GET /apidirectory/admin/register.jsp HTTP/1.1" 200 3750
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:20:45 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.woff2 HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:20:45 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.woff2 HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:20:45 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.woff2 HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:20:45 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.woff HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:20:45 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.woff HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:20:45 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.woff HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:20:45 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.ttf HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:20:45 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.ttf HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:20:45 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.ttf HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:13 +0530] "GET /apidirectory/admin/register.jsp HTTP/1.1" 200 3750
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:13 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.woff2 HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:13 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.woff2 HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:13 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.woff2 HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:13 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.woff HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:13 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.woff HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:13 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.woff HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:13 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.ttf HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:13 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.ttf HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:13 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.ttf HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:14 +0530] "GET /apidirectory/admin/register.jsp HTTP/1.1" 200 3750
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:14 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.woff2 HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:14 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.woff2 HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:14 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.woff2 HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:14 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.woff HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:14 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.woff HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:14 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.woff HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:14 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.ttf HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:14 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.ttf HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:14 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.ttf HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:14 +0530] "GET /apidirectory/admin/register.jsp HTTP/1.1" 200 3750
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:14 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.woff2 HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:14 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.woff2 HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:14 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.woff2 HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:14 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.woff HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:14 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.woff HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:14 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Light.woff HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:14 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Medium.ttf HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [28/Feb/2022:11:21:14 +0530] "GET /apidirectory/admin/adminResources/css/fonts/Roboto-Regular.ttf HTTP/1.1" 404 1118
